Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
"Dec 17, 2022","Dec 17, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,boom color stick cindy joseph for older women,BROAD,mango people multi stick,7,1,14.2857%,$0.79,0.79,0.00,,0.00,0,0,0.0000%,,,,
"Dec 17, 2022","Dec 17, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,boom color stick cindy joseph for older women,BROAD,merit bronzer stick,7,1,14.2857%,$0.76,0.76,0.00,,0.00,0,0,0.0000%,,,,
"Dec 20, 2022","Dec 20, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_p_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_p_storefront spotlight_omg,makeup boom stick,PHRASE,makeup boom stick color rose,1,1,100.0000%,$0.48,0.48,0.00,,0.00,0,0,0.0000%,,,,
"Dec 17, 2022","Dec 17, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_p_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_p_storefront spotlight_omg,makeup boom stick,PHRASE,makeup-boom stick and cause metics,1,1,100.0000%,$0.49,0.49,79.00,0.6203%,161.22,1,1,100.0000%,,,,
"Dec 16, 2022","Dec 17, 2022",Boomstick Glimmer,USD,Boomstick Glimmer_B08TZD3G7J_sca_br_sb_kw_e_omg,AMS_Ads_Boomstick Glimmer_B08TZD3G7J_sca_br_sb_kw_e_omg,boom,EXACT,boom,2,1,50.0000%,$1.15,1.15,28.00,4.1071%,24.35,1,1,100.0000%,,,,
"Dec 18, 2022","Dec 18, 2022",Not grouped,USD,Boomstick Glo_B08TZWFBG5_dis_nb_sb_kw_p_omg,AMS_Ads_Boomstick Glo_B08TZWFBG5_dis_nb_sb_kw_p_omg,makeup for aging skin over 60,PHRASE,makeup for aging skin over 60,2,1,50.0000%,$0.84,0.84,0.00,,0.00,0,0,0.0000%,,,,
"Dec 15, 2022","Dec 15, 2022",Not grouped,USD,Boomstick Glo_B08TZWFBG5_dis_nb_sb_kw_p_omg,AMS_Ads_Boomstick Glo_B08TZWFBG5_dis_nb_sb_kw_p_omg,bare essentials,PHRASE,bare essentials highlighter,1,1,100.0000%,$0.98,0.98,0.00,,0.00,0,0,0.0000%,,,,
"Dec 18, 2022","Dec 18, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,boom nectar serum by cindy joseph,BROAD,dibs beauty,4,1,25.0000%,$1.07,1.07,0.00,,0.00,0,0,0.0000%,,,,
"Dec 17, 2022","Dec 17, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,boom nectar moisturizer,BROAD,jones road miracle balm flushed,13,1,7.6923%,$0.97,0.97,0.00,,0.00,0,0,0.0000%,,,,
"Dec 16, 2022","Dec 16, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,cindy jacobs boom stick,BROAD,green lip and cheek tint ph,1,1,100.0000%,$1.07,1.07,0.00,,0.00,0,0,0.0000%,,,,
"Dec 16, 2022","Dec 16, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,cindy jacobs boom stick,BROAD,makeup lip and cheek stick,2,1,50.0000%,$1.07,1.07,0.00,,0.00,0,0,0.0000%,,,,
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,boom sticks by cindy joseph for older womenmascara,BROAD,makeup for mature skin over 50,2,1,50.0000%,$0.97,0.97,0.00,,0.00,0,0,0.0000%,,,,
"Dec 18, 2022","Dec 18, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,boom sticks by cindy joseph for older womenmascara,BROAD,makeup for mature skin over 70,3,1,33.3333%,$0.66,0.66,0.00,,0.00,0,0,0.0000%,,,,
