Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
"Dec 20, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_sca_br_sp_kw_e_omg,EXACT,boom by cindy joseph cosmetics,EXACT,boom by cindy joseph cosmetics,40,1,2.5000%,$0.93,0.93,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_sca_br_sp_kw_e_omg,EXACT,boom cosmetics 3 sticks by cindy joseph,EXACT,boom cosmetics 3 sticks by cindy joseph,2,1,50.0000%,$0.16,0.16,79.00,0.2025%,493.75,1,1,100.0000%,1,0,$79.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boomstick Color,USD,Boomstick Color_B08V1CG1GF_dis_br_sp_kw_p_omg,PHRASE,boom make up,PHRASE,boom make up for women,1,1,100.0000%,$1.65,1.65,28.00,5.8929%,16.97,1,1,100.0000%,1,0,$28.00,$0.00
"Dec 16, 2022","Dec 19, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_br_sp_kw_b_omg,BROAD,boom stick by cindy joseph,BROAD,cindy joseph boom sticks,6,2,33.3333%,$0.62,1.24,79.00,1.5696%,63.71,1,1,50.0000%,1,0,$79.00,$0.00
"Dec 19, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_br_sp_kw_b_omg,BROAD,boomsticks trio,BROAD,boomstick trio,7,2,28.5714%,$1.11,2.22,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 16, 2022","Dec 16, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_br_sp_kw_p_omg,PHRASE,boom make up,PHRASE,boom make up,2,1,50.0000%,$0.41,0.41,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_br_sp_kw_p_omg,PHRASE,boomstick trio,PHRASE,boomstick trio,10,1,10.0000%,$0.25,0.25,79.00,0.3165%,316.00,1,1,100.0000%,1,0,$79.00,$0.00
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_br_sp_kw_b_omg,BROAD,boom cindy joseph,BROAD,boom cindy joseph,3,1,33.3333%,$0.25,0.25,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_br_sp_kw_b_omg,BROAD,boom sticks trio,BROAD,boom trio sticks,2,1,50.0000%,$0.25,0.25,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 16, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_br_sp_kw_b_omg,BROAD,boom boom,BROAD,boom,88,3,3.4091%,$1.05,3.14,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_br_sp_kw_b_omg,BROAD,boom makeup sticks for older women,BROAD,boom makeup sticks for older women,8,1,12.5000%,$1.17,1.17,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 16, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_br_sp_kw_b_omg,BROAD,boom. makeup,BROAD,boom makeup,184,3,1.6304%,$0.85,2.55,28.00,9.1071%,10.98,1,1,33.3333%,0,1,$0.00,$28.00
"Dec 16, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_sca_nb_sp_kw_e_omg,EXACT,contour stick,EXACT,contour stick,5411,6,0.1109%,$2.89,17.33,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_sca_nb_sp_kw_e_omg,EXACT,blush stick cheeks,EXACT,blush stick for cheeks,155,1,0.6452%,$3.44,3.44,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,cream blush,BROAD,canmake cream blush,5,1,20.0000%,$3.78,3.78,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,cream blush,BROAD,red cream blush,12,1,8.3333%,$2.88,2.88,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,highlighter stick makeup,BROAD,makeup highlighter stick,37,1,2.7027%,$2.62,2.62,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 16, 2022","Dec 16, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,make up for older women,BROAD,multi use make up stick older woman,4,1,25.0000%,$1.44,1.44,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,makeup sticks,BROAD,boom stick trio makeup,6,3,50.0000%,$0.46,1.37,158.00,0.8671%,115.33,2,2,66.6667%,2,0,$158.00,$0.00
"Dec 16, 2022","Dec 16, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_p_omg,PHRASE,lip cheek,PHRASE,"danessa eyes lip, cheeks",1,1,100.0000%,$1.40,1.40,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_p_omg,PHRASE,lip cheek,PHRASE,lip and cheek balm,17,1,5.8824%,$3.50,3.50,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_p_omg,PHRASE,make up for older women,PHRASE,make up for older women over 50,3,2,66.6667%,$3.46,6.92,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 16, 2022","Dec 16, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,clinique blush stick,BROAD,clinique blush stick for cheeks,3,1,33.3333%,$1.91,1.91,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,liquid blush for cheeks,BROAD,liquid blush for cheeks,1136,1,0.0880%,$4.09,4.09,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_sca_nb_sp_kw_e_omg,EXACT,blush,EXACT,blush,1084,1,0.0923%,$3.24,3.24,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_p_omg,PHRASE,blush makeup,PHRASE,blush makeup,313,1,0.3195%,$3.14,3.14,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 16, 2022","Dec 16, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_p_omg,PHRASE,blush makeup,PHRASE,mouse blush makeup,10,1,10.0000%,$4.09,4.09,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 16, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_br_sp_kw_b_omg,BROAD,boom trio makeup stick,BROAD,boom stick trio makeup,58,6,10.3448%,$0.67,3.99,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_p_omg,PHRASE,cream eyeshadow,PHRASE,cream eyeshadow for mature skin,43,1,2.3256%,$4.11,4.11,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,bare minerals,BROAD,bare minerals foundation n10,2,1,50.0000%,$2.85,2.85,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,cosmetics,BROAD,boom cosmetics,1,1,100.0000%,$0.28,0.28,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,cosmetics,BROAD,cosmetic bag,185,1,0.5405%,$3.41,3.41,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,cosmetics,BROAD,cosmetic display cases,130,1,0.7692%,$2.49,2.49,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,cosmetics,BROAD,cosmetics for men,2,1,50.0000%,$2.62,2.62,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,cosmetics,BROAD,eyelash cosmetic bags,1,1,100.0000%,$3.39,3.39,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 19, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,cosmetics,BROAD,it cosmetics,972,2,0.2058%,$1.97,3.94,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,cosmetics,BROAD,it cosmetics blush compact,5,1,20.0000%,$3.07,3.07,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,cosmetics,BROAD,it cosmetics cc cream,115,1,0.8696%,$2.49,2.49,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,cosmetics,BROAD,it cosmetics highlighter,80,2,2.5000%,$3.41,6.82,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 16, 2022","Dec 16, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,cosmetics,BROAD,it cosmetics naturally pretty essentials palette w/brush,3,1,33.3333%,$2.38,2.38,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,cosmetics,BROAD,mary kay cosmetics,17,1,5.8824%,$0.69,0.69,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,cosmetics,BROAD,vibely by lash cosmetics,11,1,9.0909%,$2.63,2.63,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 16, 2022","Dec 16, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_sca_br_sp_kw_e_omg,EXACT,boomsticks,EXACT,boomstick,4,1,25.0000%,$0.73,0.73,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_sca_br_sp_kw_e_omg,EXACT,boomsticks,EXACT,boomsticks,2,1,50.0000%,$0.26,0.26,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 16, 2022","Dec 16, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,ogee face sticks trio,BROAD,ogee face sticks trio,296,1,0.3378%,$2.96,2.96,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 16, 2022","Dec 16, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,thrive cosmetics,BROAD,thrive cosmetics,167,1,0.5988%,$2.34,2.34,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_p_omg,PHRASE,bobbi brown,PHRASE,bobbi brown jones road,5,1,20.0000%,$3.65,3.65,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_p_omg,PHRASE,bobbi brown,PHRASE,bobbi brown miracle balm makeup,16,1,6.2500%,$3.12,3.12,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 19, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_br_sp_kw_b_omg,BROAD,boom stick by cindy joseph for older women,BROAD,boom sticks by cindy joseph for older women,175,11,6.2857%,$0.54,5.99,237.00,2.5274%,39.57,3,3,27.2727%,3,0,$237.00,$0.00
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_sca_br_sp_kw_e_omg,EXACT,boomstick blush,EXACT,boomstick blush,1,1,100.0000%,$0.44,0.44,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,ilia,BROAD,ilia,127,2,1.5748%,$2.90,5.79,79.00,7.3291%,13.64,1,1,50.0000%,1,0,$79.00,$0.00
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,ilia,BROAD,ilia beauty multi stick,7,1,14.2857%,$2.85,2.85,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,ilia,BROAD,ilia eyebrow gel,5,1,20.0000%,$2.37,2.37,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,joseph joseph,BROAD,boom sticks by cindy joseph for older women,39,9,23.0769%,$0.52,4.71,312.00,1.5096%,66.24,5,5,55.5556%,3,2,$237.00,$75.00
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,joseph joseph,BROAD,boomstick trio by cindy joseph for older women,2,1,50.0000%,$0.70,0.70,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 16, 2022","Dec 16, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,clinique,BROAD,clinique,36,1,2.7778%,$2.28,2.28,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,clinique,BROAD,clinique foundation,91,1,1.0989%,$1.99,1.99,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,clinique,BROAD,clinique makeup,36,1,2.7778%,$1.74,1.74,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,clinique,BROAD,clinique moisture surge lip hydro-plump treatment,1,1,100.0000%,$1.93,1.93,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,clinique,BROAD,clinique moisturizer,30,1,3.3333%,$1.93,1.93,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,clinique,BROAD,clinique stay-matte powder,2,1,50.0000%,$2.50,2.50,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,clinique,BROAD,clinique take the day off makeup wipes,1,1,100.0000%,$2.50,2.50,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,clinique,BROAD,clinique touch base for eyes,2,1,50.0000%,$2.50,2.50,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,perbelle,BROAD,perbelle cc cream,37,1,2.7027%,$2.09,2.09,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_b_omg,BROAD,perbelle,BROAD,perbelle cc cream self adjusting for mature skin,30,1,3.3333%,$2.08,2.08,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 16, 2022","Dec 16, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_sca_nb_sp_kw_e_omg,EXACT,lips stick,EXACT,lip stick,87,1,1.1494%,$2.47,2.47,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_p_omg,PHRASE,bite beauty,PHRASE,bite beauty,68,1,1.4706%,$1.75,1.75,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_dis_nb_sp_kw_p_omg,PHRASE,nars,PHRASE,nars light reflecting foundation,27,1,3.7037%,$3.30,3.30,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boomstick Glimmer,USD,Boomstick Glimmer_B08TZD3G7J_dis_br_sp_kw_p_omg,PHRASE,boom sticks,PHRASE,boom stick,10,1,10.0000%,$0.52,0.52,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boomstick Glimmer,USD,Boomstick Glimmer_B08TZD3G7J_dis_br_sp_kw_p_omg,PHRASE,boom sticks,PHRASE,boom sticks by cindy joseph for older women,12,1,8.3333%,$0.72,0.72,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boomstick Glimmer,USD,Boomstick Glimmer_B08TZD3G7J_sca_nb_sp_kw_e_omg,EXACT,highlighters makeup stick,EXACT,highlighter makeup stick,84,1,1.1905%,$1.40,1.40,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boomstick Glimmer,USD,Boomstick Glimmer_B08TZD3G7J_dis_nb_sp_kw_p_omg,PHRASE,makeup for older woman,PHRASE,boom makeup for older women,1,1,100.0000%,$0.75,0.75,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 15, 2022","Dec 20, 2022",Boom Scrub,USD,Boom Scrub_ B09V2BJQ54_sca_br_sp_kw_e_omg,Boom Scrub_ B09V2BJQ54_sca_br_sp_kw_e_omg,boom cindy joseph,EXACT,boom by cindy joseph,151,4,2.6490%,$1.11,4.44,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 15, 2022","Dec 18, 2022",Boom Scrub,USD,Boom Scrub_ B09V2BJQ54_dis_br_sp_kw_p_omg,Boom Scrub_ B09V2BJQ54_dis_br_sp_kw_p_omg,boom by cindy joseph cosmetics,PHRASE,boom by cindy joseph cosmetics,1159,3,0.2588%,$1.14,3.42,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 15, 2022","Dec 21, 2022",Boom Scrub,USD,Boom Scrub_ B09V2BJQ54_opp_br_sp_pt_omg,Boom Scrub_ B09V2BJQ54_opp_br_sp_pt_omg,"asin=""B08S49FM3C""",-,b08s49fm3c,10237,14,0.1368%,$0.85,11.88,75.00,15.8400%,6.31,2,2,14.2857%,1,1,$48.00,$27.00
"Dec 19, 2022","Dec 21, 2022",Boom Scrub,USD,Boom Scrub_ B09V2BJQ54_opp_br_sp_pt_omg,Boom Scrub_ B09V2BJQ54_opp_br_sp_pt_omg,"asin=""B08TZD3G7J""",-,b08tzd3g7j,205,1,0.4878%,$0.44,0.44,28.00,1.5714%,63.64,1,1,100.0000%,0,1,$0.00,$28.00
"Dec 16, 2022","Dec 18, 2022",Boom Scrub,USD,Boom Scrub_ B09V2BJQ54_opp_br_sp_pt_omg,Boom Scrub_ B09V2BJQ54_opp_br_sp_pt_omg,"asin=""B08TZV54MN""",-,b08tzv54mn,228,2,0.8772%,$0.59,1.17,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 15, 2022","Dec 15, 2022",Boom Scrub,USD,Boom Scrub_ B09V2BJQ54_opp_br_sp_pt_omg,Boom Scrub_ B09V2BJQ54_opp_br_sp_pt_omg,"asin=""B09VS4P2P6""",-,b09vs4p2p6,22,1,4.5455%,$1.63,1.63,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boomstick Glimmer,USD,Boomstick Glimmer_B08TZD3G7J_dis_nb_sp_kw_p_omg,PHRASE,liquid blush,PHRASE,liquid blush,534,1,0.1873%,$1.58,1.58,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boomstick Glimmer,USD,Boomstick Glimmer_B08TZD3G7J_dis_nb_sp_kw_p_omg,PHRASE,burts bees,PHRASE,burt's bee makeup,1,1,100.0000%,$0.36,0.36,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boomstick Color,USD,Boomstick Color_B08V1CG1GF_dis_nb_sp_kw_p_omg,PHRASE,bobbi brown,PHRASE,miracle balm jones road beauty bobbi brown,1,1,100.0000%,$0.99,0.99,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,Boomstick Trio_B08S49FM3C_sca_nb_sp_kw_e_omg,EXACT,miracle balm jones road beauty,EXACT,miracle balm jones road beauty,26,1,3.8462%,$2.05,2.05,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boom Scrub,USD,Boom Scrub_ B09V2BJQ54_dis_nb_sp_a_omg,Boom Scrub_ B09V2BJQ54_dis_nb_sp_a_omg,*,-,b004nu44by,232,1,0.4310%,$2.30,2.30,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 16, 2022","Dec 17, 2022",Boom Scrub,USD,Boom Scrub_ B09V2BJQ54_dis_nb_sp_a_omg,Boom Scrub_ B09V2BJQ54_dis_nb_sp_a_omg,*,-,b07mwsrj89,1150,2,0.1739%,$0.93,1.85,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 15, 2022","Dec 15, 2022",Boom Scrub,USD,Boom Scrub_ B09V2BJQ54_dis_nb_sp_a_omg,Boom Scrub_ B09V2BJQ54_dis_nb_sp_a_omg,*,-,b07mwth3by,250,1,0.4000%,$0.90,0.90,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 18, 2022","Dec 18, 2022",Boom Scrub,USD,Boom Scrub_ B09V2BJQ54_dis_nb_sp_a_omg,Boom Scrub_ B09V2BJQ54_dis_nb_sp_a_omg,*,-,b08lc6s2q4,15,1,6.6667%,$0.95,0.95,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 17, 2022","Dec 17, 2022",Boom Scrub,USD,Boom Scrub_ B09V2BJQ54_dis_nb_sp_a_omg,Boom Scrub_ B09V2BJQ54_dis_nb_sp_a_omg,*,-,b09s63zpbw,58,1,1.7241%,$0.90,0.90,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 15, 2022","Dec 18, 2022",Boom Scrub,USD,Boom Scrub_ B09V2BJQ54_dis_nb_sp_a_omg,Boom Scrub_ B09V2BJQ54_dis_nb_sp_a_omg,*,-,boom cindy,77,2,2.5974%,$2.92,5.84,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boomstick Color,USD,Boomstick Color_B08V1CG1GF_dis_nb_sp_a_omg,Acq_SP_A_Boomstick Color_OMG,*,-,bobbi brown jones road miracle balm,1,1,100.0000%,$1.11,1.11,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Dec 20, 2022","Dec 20, 2022",Boomstick Color,USD,Boomstick Color_B08V1CG1GF_dis_nb_sp_a_omg,Acq_SP_A_Boomstick Color_OMG,*,-,foundation for 60 year old,1,1,100.0000%,$0.90,0.90,0.00,,0.00,0,0,0.0000%,0,0,$0.00,$0.00
